system_equipment,equipment_description,equipment_code,equipment_level,parent_code,parent_level,type_travail,action_entity,date_declaration,date_fin,date_creation,cout_total,source
B7272T0015,FARDELEUSE TSM 4 SDI CERMEX-OC,B7272T0015-ENTRAI-NA,3,B7272T0015-ENTRAI,2.0,CORR,LLK,2023-01-10,2023-04-08,2023-01-10,133.58333333333334,2023_CORRECTIF
B7272T0027,FARDELEUSE VARIOPAC PRO,B7272T0027,1,,,CORR,ELKS_UAP2,2023-01-10,2023-06-01,2023-01-10,928.2406969,2023_CORRECTIF
B8525T0026,GROUPE-ELECTROGENE 400KVA,B8525T0026,1,,,CORR,LLK,2023-01-10,,2023-01-10,5200000.0,2023_CORRECTIF
LLK-AC-2350A,Compresseur 40 bars TEMPO 2350 A,LLK-AC-2350A-ETACOM,2,LLK-AC-2350A,1.0,CORR,LLK,2023-01-10,2023-04-08,2023-01-11,1488.5,2023_CORRECTIF
B6220T0001,VMC  A(SDA),B6220T0001-S125,3,B6220T0001-S011,2.0,CORR,ELKS_UAP2,2023-01-11,2023-06-01,2023-01-11,716.0517725818488,2023_CORRECTIF
B6225T0001-S001,CUVERIE EXTERIEUR,B7101T0115-S002,3,B6225T0001-S096,2.0,CORR,ELKS_UAP2,2023-01-11,2023-06-01,2023-01-15,498.65960885,2023_CORRECTIF
B7214T8001,SOUFFLEUSE SBO 20 5767,B7214T8001,1,,,CORR,ELKS_UAP1,2023-01-11,2023-06-01,2023-01-15,414.7496105833333,2023_CORRECTIF
B7217T0002,SOUTIREUSE,B7217T0002,1,,,CORR,ELKS_UAP2,2023-01-11,2023-06-01,2023-01-11,99.2117156,2023_CORRECTIF
B7272T0027,FARDELEUSE VARIOPAC PRO,B7272T0027,1,,,CORR,ELKS_UAP2,2023-01-11,2023-06-01,2023-01-11,377.6735234147094,2023_CORRECTIF
B7284T0027,PALETTISEUR P432-SCARA (P432-20) CERMEX,B7284T0027-MAGPAL-EF,3,B7284T0027-MAGPAL,2.0,CORR,LLK,2023-01-11,2023-04-08,2023-01-11,6944.5,2023_CORRECTIF
LLK-AC-2350A,Compresseur 40 bars TEMPO 2350 A,LLK-AC-2350A-ETACOM,2,LLK-AC-2350A,1.0,CORR,LLK,2023-01-11,2023-04-08,2023-01-11,509.0,2023_CORRECTIF
