EREQ_CODE,EREQ_DESCRIPTION,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_SYSTEM_EQUIPMENT,EREQ_CREATION_DATE,EREQ_EQUIPMENT_STATUS,EREQ_CATEGORY,EREQ_ENTITY,EREQ_ZONE,EREQ_COSTCENTRE
B4688R0301-A002,VANNE TOR DE RECIRCULATION XV520-04,2,B4688R2000-A010,B4688R2000-A010,2012-08-01,NORMAL,B4602,BS1,BS1-ACC5,SUCRE-D-RAFS
B4688R0003-A025,VANNE TOR DE RINCAGE  XV545,2,B4688R2000-A010,B4688R2000-A010,2012-08-01,NORMAL,B4602,BS1,BS1-ACC5,SUCRE-D-RAFS
B4688R0003-A026,VANNE TOR DE RINCAGE  XV550,2,B4688R2000-A010,B4688R2000-A010,2012-08-01,NORMAL,B4602,BS1,BS1-ACC5,SUCRE-D-RAFS
B4600R2000-A010,INSTRUMENTATIONS,2,B4600R2005,B4600R2005,2012-08-01,NORMAL,B4605,BS1,BS1-ACC5,SUCRE-D-RAFS
B7105T0035,BAC LS1 T610,1,,B7105T0035,2012-08-01,NORMAL,B7101,BS1,BS1-CRST6,SUCRE-D-RAFS
B7105R0036,CUVE,2,B7105T0035,B7105T0035,2012-08-01,NORMAL,B7101,BS1,BS1-CRST6,SUCRE-D-RAFS
B4688R0001-A014,VANNE TOR D'ALIMENTATION DU FILTRE A SABLE  EN EAU XV4304-04,2,B4688R0001-A008,B4688R0001-A008,2012-08-01,NORMAL,B4602,BS1,BS1-ACC4,SUCRE-D-RAFS
B4688R0002-A005,VANNE TOR DE DOSAGE DE LA SAUMURE T4551 XV4301-04,2,B4688R0001-A008,B4688R0001-A008,2012-08-01,NORMAL,B4602,BS1,BS1-ACC4,SUCRE-D-RAFS
B4688R0001-A015,VANNE TOR D'ALIMENTATION DU T4320 EN ACIDE  XV4320-04,2,B4688R0001-A008,B4688R0001-A008,2012-08-01,NORMAL,B4602,BS1,BS1-ACC4,SUCRE-D-RAFS
B4688R0072-A003,VANNE DE REGULATION DU DEBIT D'AIR VERS SILO C PV1029C,2,B4688R2000-A019,B4688R2000-A019,2012-08-01,NORMAL,B4601,BS1,BS1-ACC10,SUCRE-D-RAFS
B4688R0072-A004,VANNE DE REGULATION DU DEBIT D'AIR VERS SILO D PV1029D,2,B4688R2000-A019,B4688R2000-A019,2012-08-01,NORMAL,B4601,BS1,BS1-ACC10,SUCRE-D-RAFS
B4688R2000-A020,VANNE TOR,1,,B4688R2000-A020,2012-08-01,NORMAL,B4602,BS1,BS1-ACC10,SUCRE-D-RAFS
B4688R0301-A005,VANNE TOR DE DEPOUSSIERAGE SILO C EV1028C,2,B4688R2000-A020,B4688R2000-A020,2012-08-01,NORMAL,B4602,BS1,BS1-ACC10,SUCRE-D-RAFS
B4313R1052-A005,MOTEUR ELECTRIQUE,2,B3623T0040,B3623T0040,2012-08-01,NORMAL,B3503,BS1,BS1-CRST6,SUCRE-D-RAFS
B3602R0019-A001,POMPE NUE,2,B3623T0040,B3623T0040,2012-08-01,NORMAL,B3602,BS1,BS1-CRST6,SUCRE-D-RAFS
B3623T0039,GROUPE ELECTROPOMPE CENTRIFUGE LS1 P615B,1,,B3623T0039,2012-08-01,NORMAL,B3623,BS1,BS1-CRST6,SUCRE-D-RAFS
B4313R1052-A006,MOTEUR ELECTRIQUE,2,B3623T0039,B3623T0039,2012-08-01,NORMAL,B3503,BS1,BS1-CRST6,SUCRE-D-RAFS
B3602R0019-A002,POMPE NUE,2,B3623T0039,B3623T0039,2012-08-01,NORMAL,B3602,BS1,BS1-CRST6,SUCRE-D-RAFS
B3623T0044,GROUPE ELECTROPOMPE CENTRIFUGE LS2 P625,1,,B3623T0044,2012-08-01,NORMAL,B3623,BS1,BS1-CRST6,SUCRE-D-RAFS
B3602R0022-A001,POMPE NUE,2,B3623T0044,B3623T0044,2012-08-01,NORMAL,B3602,BS1,BS1-CRST6,SUCRE-D-RAFS
