WOWO_SYSTEM_EQUIPMENT,WOWO_EQUIPMENT_DESCRIPTION,WOWO_DECLARATION_DATE,WOWO_END_DATE,WOWO_CREATION_DATE,WOWO_JOB_TYPE,WOWO_EQUIPMENT_LEVEL,WOWO_EQUIPMENT,maintenance_parent_code,maintenance_parent_level,WOWO_JOB_CLASS,WOWO_TOTAL_COST,source,label_quality,WOWO_ACTION_ENTITY
B7203R0001,CONVOYEURS PALETTES 'DEBALLAGE',2024-04-29,,2024-04-29,PREV,,,,,,38.103333333333325,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B7203R0001,CONVOYEURS PALETTES 'DEBALLAGE',2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B7203T0001,DEPALETTISEUR,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B7203T0001,DEPALETTISEUR,2024-04-29,,2024-04-29,PREV,,,,,,38.103333333333325,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP2
B7210T8004,LAVEUSE BOUTEILLES(SDA),2024-04-29,,2024-04-29,PREV,,,,,,38.103333333333325,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B7210T8004,LAVEUSE BOUTEILLES(SDA),2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B7210T8005,LAVEUSE CASIERS BOUTEILLES KRONES,2024-04-29,,2024-04-29,PREV,,,,,,30.482666666666663,2024_PREVENTIF,MEDIUM_INFERRED,ELKS_UAP1
B7212T0003,ALIMENTATION HUILE,2024-04-29,,2024-04-29,PREV,,,,,,207.845,2024_PREVENTIF,MEDIUM_INFERRED,BCH
B7212T0003,ALIMENTATION HUILE,2024-04-29,,2024-04-29,PREV,,,,,,208.845,2024_PREVENTIF,MEDIUM_INFERRED,BCH
B7214T0003,SOUFFLEUSE SBO10 - 5280,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,BCH
B7214T0003,SOUFFLEUSE SBO10 - 5280,2024-04-29,,2024-04-29,PREV,,,,,,424.785,2024_PREVENTIF,MEDIUM_INFERRED,BCH
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,2024-04-29,,2024-04-30,CORR,,,,,,847.7833333333333,2024_CORRECTIF,MEDIUM_INFERRED,LLK
B7214T0007,SOUFFLEUSE SBO 20 SIDEL,2024-04-29,,2024-04-29,CORR,,,,,,256.9783333333333,2024_CORRECTIF,MEDIUM_INFERRED,LLK
B7214T0008,SOUFFLEUSE SBO 20 SIDEL,2024-04-29,,2024-04-29,PREV,,,,,,218362.10453333333,2024_PREVENTIF,MEDIUM_INFERRED,LLK
B7214T0008,SOUFFLEUSE SBO 20 SIDEL,2024-04-29,,2024-04-29,PREV,,,,,,2367.0,2024_PREVENTIF,MEDIUM_INFERRED,LLK
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,2024-04-29,,2024-04-29,CORR,,,,,,1121.36,2024_CORRECTIF,MEDIUM_INFERRED,LLK
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,2024-04-29,,2024-04-29,PREV,,,,,,114.31,2024_PREVENTIF,MEDIUM_INFERRED,LLK
B7214T0010,SOUFFLEUSE SBO 20 SIDEL,2024-04-29,,2024-04-29,PREV,,,,,,0.0,2024_PREVENTIF,MEDIUM_INFERRED,LLK
