code_stock,designation,nb_composantes_liees,quantite,seuil_alerte,unite,emplacement,description
VL-CL-001,CLAPET ANTI-RETOUR DU CIRCUIT DE VAPEUR DE SECHAGE,5,0,2,pcs,,
EL-GN-012,COMPOSANTS ELECTRIQUES POSE POIGNEE,5,0,2,pcs,,
GN-PT-002,PARTIE ELECTRIQUE,5,0,2,pcs,,
CV-CH-003,CHARIOT,5,0,2,pcs,,
GN-CO-007,COMBINATEUR CG,5,0,2,pcs,,
GN-CL-001,COLONNE,5,0,2,pcs,,
MC-TS-003,TRANSMISSION SBO,5,0,2,pcs,,
IN-PR-002,INDICATEUR DE PRESSION ENTREE FILTRE,5,0,2,pcs,,
IN-PR-003,INDICATEUR DE PRESSION DU FILTRE,5,0,2,pcs,,
UT-EJ-001,UNITE D EJECTION,5,0,2,pcs,,
EM-PL-001,PLIEUSE LATERALE,5,0,2,pcs,,
GN-MA-003,MAGASIN PALETTE,5,0,2,pcs,,
MO-SE-001,MOTEUR DU SEQUENCEUR,5,0,2,pcs,,
VA-PN-006,VANNE PNEUMATQUE NC,5,0,2,pcs,,
IN-MN-003,MANOMETRE ENTRE CUVE A FILTRE N°01,5,0,2,pcs,,
UT-SY-013,SYSTEME FILTRATION AIR,5,0,2,pcs,,
DL-EM-001,EMPILEUR,5,0,2,pcs,,
VA-EV-006,ELECTROVANNE DE SECHAGE DU FILTRE VERS LE 682A,5,0,2,pcs,,
VA-EV-007,ELECTROVANNE DE DRAINAGE DU FILTRE VERS LE 622,5,0,2,pcs,,
RE-CG-001,REDUCTEUR DE CG,5,0,2,pcs,,
CV-EL-001,ELEVATEUR PALETTE,5,0,2,pcs,,
GN-PO-004,PORTE DE PROTECTION,5,0,2,pcs,,
VA-EV-008,ELECTROVANNE DE PRODUCTION VERS LE 682B,5,0,2,pcs,,
PO-DO-001,POMPE DOSEUSE NUE,5,0,2,pcs,,
GN-DP-001,DIAPHRAGME DU CIRCUIT DE VAPEUR DE SOUFLAGE DU FILTRE,5,0,2,pcs,,
VA-PN-007,VANNE PNEUMATIQUE NO DE PURGE,5,0,2,pcs,,
GN-DI-001,DISQUE PORTE PLATEAUX,5,0,2,pcs,,
AU-AR-005,ARMOIRE ELECTRIQUE ET AUTOMATE,5,0,2,pcs,,
AU-PR-010,AUTOMATE PROGRAMMABLE POSE POIGNEE,5,0,2,pcs,,
MC-RL-006,ROULEAUX D'ENTRAINEMENT,5,0,2,pcs,,
VA-EV-009,ELECTROVANNE DE DRAINAGE DU FILTRE VERS LE 682A,5,0,2,pcs,,
GN-EJ-002,EJECTEUR,5,0,2,pcs,,
RE-L'-001,REDUCTEUR DE DE L'ASCENSEUR,5,0,2,pcs,,
VA-EV-010,ELECTROVANNE DE DECHARGEDE TERRE USEE DU FILTRE,5,0,2,pcs,,
CP-DT-002,DETECTEUR DE PRESSION HAUTE AU FILTRE,5,0,2,pcs,,
GN-VR-001,VERRE VISEUR SORTIE PRODUCTION DU FILTRE,5,0,2,pcs,,
VA-EV-011,ELECTROVANNE DU TROP-PLEIN,5,0,2,pcs,,
GN-VR-002,VERRE VISEUR ENTREE DU FILTRE,5,0,2,pcs,,
HY-BC-001,BAC A COLLE POSTERIEUR,5,0,2,pcs,,
RE-SE-001,REDUCTEUR DU SEQUENCEUR,5,0,2,pcs,,
CP-DT-003,DETECTEUR DE NIVEAU BAS DU FILTRE,5,0,2,pcs,,
GN-VR-003,VERRE VISEUR TROP-PLEIN DU FILTRE,5,0,2,pcs,,
PO-SU-001,POMPE SUBMERSIBLE AMAREX COMPLETTE,5,0,2,pcs,,
VA-MA-007,"VANNE MANUELLE A POINTEAU 3/8"" D'INDICATEUR DE PRESSION PI1",5,0,2,pcs,,
VA-EV-012,ELECTROVANNE DE VAPEUR DE SECHAGE,5,0,2,pcs,,
RE-C2-001,REDUCTEUR DE C2,5,0,2,pcs,,
MC-EN-002,ENTRAINEMENT AIGUILLAGE,5,0,2,pcs,,
PO-VO-001,POMPE VOLUMETRIQUE EXCENTRIQUE,5,0,2,pcs,,
UT-TR-001,UNITE TRANSFERT,5,0,2,pcs,,
GN-CE-001,CENTREUR PALETTES,4,0,2,pcs,,
GN-DE-005,DEBOBINEUR 1,4,0,2,pcs,,
GN-AI-001,AIR COMPRIME 7 BARS,4,0,2,pcs,,
VA-EV-013,ELECTROVANNE CIRCUIT RETOUR EAU PROPRE VERS REFRIGERANT,4,0,2,pcs,,
EL-AL-001,ALIMENTATION ELECTRIQUE ET COMMANDE (LIGNE MRC2),4,0,2,pcs,,
EL-AL-002,ALIMENTATION ELECTRIQUE ET COMMANDE (LIGNE MRC1),4,0,2,pcs,,
EL-GN-013,COMPOSANTS ELECTRIQUES ET PNEUMATIQUES,4,0,2,pcs,,
MO-AS-002,MOTEUR ASYNCHRONE TRIPHASÉ 2,4,0,2,pcs,,
MO-AS-003,MOTEUR ASYNCHRONE TRIPHASÉ,4,0,2,pcs,,
